Year,Month,Date,Momentum_Holding,Value_Holding,Cash_Holding,Total_Portfolio,Momentum_Weight,Value_Weight,Cash_Weight,Regime,Risk_On
2005,Apr,2005-04-29,7500.0,2500.0,0.0,10000.0,75.0,25.0,0.0,value,True
2005,May,2005-05-31,8063.098672525488,2753.2583722432214,0.0,10816.357044768709,75.0,25.0,0.0,value,True
2005,Jun,2005-06-30,8244.662695931207,2627.6072379995508,0.0,10872.269933930758,75.0,25.0,0.0,value,True
2005,Jul,2005-07-29,9379.95702693168,3020.974355943229,0.0,12400.931382874907,75.0,25.0,0.0,value,True
2005,Aug,2005-08-31,10866.781704901927,3263.469809573009,0.0,14130.251514474936,75.0,25.0,0.0,value,True
2005,Sep,2005-09-30,11368.304347186422,3665.197539442615,0.0,15033.501886629037,75.0,25.0,0.0,value,True
2005,Oct,2005-10-31,9860.867346275974,3353.296517208015,0.0,13214.16386348399,75.0,25.0,0.0,value,True
2005,Nov,2005-11-30,11382.755708943918,3583.3777739144957,0.0,14966.133482858413,75.0,25.0,0.0,value,True
2006,Jan,2006-01-31,13499.379573638129,3901.601665462337,0.0,17400.981239100467,75.0,25.0,0.0,momentum,True
2006,Feb,2006-02-28,13331.802706568913,4396.480038603074,0.0,17728.282745171986,75.0,25.0,0.0,momentum,True
2006,Mar,2006-03-31,15181.606951887254,4713.531028344398,0.0,19895.13798023165,75.0,25.0,0.0,momentum,True
2006,Apr,2006-04-29,16663.312218052182,5274.186338762552,0.0,21937.498556814735,75.0,25.0,0.0,momentum,True
2006,May,2006-05-31,14834.946961871818,5026.190510379307,0.0,19861.137472251125,75.0,25.0,0.0,momentum,True
2006,Jun,2006-06-30,14301.03440731422,4365.844544637138,0.0,18666.87895195136,75.0,25.0,0.0,momentum,True
2006,Jul,2006-07-31,13561.873439419787,4514.472725782995,0.0,18076.346165202784,75.0,25.0,0.0,momentum,True
2006,Aug,2006-08-31,14808.389915381822,5124.301540055202,0.0,19932.691455437023,75.0,25.0,0.0,momentum,True
2006,Sep,2006-09-29,15930.271475339525,5446.284405274167,0.0,21376.55588061369,75.0,25.0,0.0,momentum,True
2006,Oct,2006-10-31,17062.115915517796,5506.968694378993,0.0,22569.08460989679,75.0,25.0,0.0,momentum,True
2006,Nov,2006-11-30,11899.64473573087,10857.787566061706,0.0,22757.432301792578,50.0,50.0,0.0,momentum,True
2006,Dec,2006-12-29,15058.41250865589,8024.967576712849,0.0,23083.38008536874,65.0,35.0,0.0,momentum,True
2007,Jan,2007-01-31,13925.24234546629,9982.498759583677,0.0,23907.741105049965,60.0,40.0,0.0,momentum,True
2007,Feb,2007-02-28,10848.205095842397,10864.372628583706,0.0,21712.577724426104,50.0,50.0,0.0,momentum,True
2007,Mar,2007-03-30,10663.373616798788,10739.064338731305,0.0,21402.43795553009,50.0,50.0,0.0,momentum,True
2007,Apr,2007-04-30,11679.685838685053,11824.872030318598,0.0,23504.55786900365,50.0,50.0,0.0,momentum,True
2007,May,2007-05-31,12476.50950893561,12661.992318437648,0.0,25138.501827373257,50.0,50.0,0.0,momentum,True
2007,Jun,2007-06-29,13834.610536938537,12688.24332086184,0.0,26522.85385780038,50.0,50.0,0.0,momentum,True
2007,Jul,2007-07-31,16790.986555174204,11071.53641567894,0.0,27862.522970853144,60.0,40.0,0.0,momentum,True
2007,Aug,2007-08-31,18642.73979307588,9526.98010136456,0.0,28169.71989444044,65.0,35.0,0.0,momentum,True
2007,Sep,2007-09-28,26019.79905021827,8273.177085362118,0.0,34292.976135580386,75.0,25.0,0.0,momentum,True
2007,Oct,2007-10-31,35148.592572062924,7316.95314771235,0.0,42465.54571977528,80.0,20.0,0.0,momentum,True
2007,Nov,2007-11-30,44686.17272989115,0.0,0.0,44686.17272989115,100.0,0.0,0.0,momentum,True
2007,Dec,2007-12-31,44407.10459442711,5393.682816148024,0.0,49800.78741057513,90.0,10.0,0.0,momentum,True
2008,Jan,2008-01-31,27525.398513059175,10930.934157851027,0.0,38456.332670910204,70.0,30.0,0.0,momentum,True
2008,Feb,2008-02-29,25752.624944700776,11991.322141774312,0.0,37743.94708647509,70.0,30.0,0.0,momentum,True
2008,Mar,2008-03-31,18219.39810180954,12526.24292962035,0.0,30745.641031429892,60.0,40.0,0.0,momentum,True
