Start_Date,Start_Date_Str,Mom_Ret_6M_Prior,Val_Ret_6M_Prior,Rel_Perf_6M_Prior,Mom_Ret_1Y_Prior,Val_Ret_1Y_Prior,Rel_Perf_1Y_Prior,Mom_Ret_3Y_Prior,Val_Ret_3Y_Prior,Rel_Perf_3Y_Prior,Mom_Val_Ratio,Mom_Ret_6M_After,Val_Ret_6M_After,Rel_Perf_6M_After
2011-11-30,2011-11,-8.324811355690919,-19.65295050343031,11.328139147739392,-15.383361033585253,-28.75793710144533,13.374576067860076,83.14939252019278,135.91567686336666,-52.76628434317388,1.029971524761243,4.796282158660503,7.685260819445605,-2.888978660785102
2012-07-31,2012-07,9.191141595826192,-2.4746421365146376,11.665783732340829,1.7976373908577425,-10.496305764254753,12.293943155112496,32.4168749861735,32.30277922425036,0.11409576192313864,1.0424275777513836,15.553892315608685,15.935158707214537,-0.38126639160585185
2013-03-28,2013-03,2.3272463636775598,-10.02404062565645,12.35128698933401,15.043998329048414,-15.377475053468059,30.421473382516474,27.577622440832194,-3.6855931356452376,31.26321557647743,1.2553048775968514,8.136057554636466,-15.17421047560461,23.310268030241076
2013-05-31,2013-05,5.621492632744762,-7.390127221112397,13.011619853857159,30.855518148640627,-0.090742815012268,30.946260963652897,42.543790376325674,-3.4808663641811566,46.02465674050683,1.312807776910523,3.1605716324170086,-4.937912438799397,8.098484071216404
2014-11-28,2014-11,34.302056100373335,4.7069551680746,29.595100932298735,54.08974570565568,62.41649312164572,-8.326747415990042,117.98439040298851,66.11141223442829,51.87297816856022,1.3516092117780607,10.394324340865978,-13.298803718903807,23.693128059769784
2017-06-30,2017-06,24.83554406814541,10.92159864073814,13.91394542740727,31.70483962801289,30.35359308586838,1.3512465421445121,79.9173671995072,-1.8540963809871136,81.77146358049431,1.965577953212664,23.7405195281293,17.801303374452782,5.939216153676519
2018-04-30,2018-04,6.471770626988915,-9.61993563951994,16.091706266508854,24.20064764548213,-1.7442175622651823,25.944865207747313,76.46220191733022,24.771584624223287,51.69061729310693,2.3243386041300638,-8.624937808390499,-15.088186115991487,6.463248307600988
2018-11-30,2018-11,-1.6985668079567473,-15.03581782761424,13.337251019657494,4.2756067731245295,-22.679166492171653,26.954773265296183,65.58238435004489,16.08368787106702,49.49869647897787,2.7113841582779457,7.689110082510031,7.191216409653278,0.4978936728567529
2019-01-31,2019-01,-2.624832965174939,-12.32812697828064,9.703294013105701,0.6796282580989743,-27.47850162618346,28.15812988428243,77.17973274052608,31.552931911130777,45.6268008293953,2.812635387592523,-3.2682191384388437,-4.294067758782316,1.0258486203434725
2019-09-30,2019-09,-2.8725189017964725,-18.10519162110439,15.232672719307917,2.2081576833578698,-14.875398577385324,17.083556260743194,47.341424424319925,-11.895580473761836,59.237004898081764,3.131138471645541,-14.85573830533805,-35.63403860505456,20.778300299716513
2019-11-29,2019-11,-0.5257490731817693,-12.642773787610828,12.117024714429059,7.122935584333545,-6.360726601207556,13.483662185541101,56.33678265915532,-11.882461731133741,68.21924439028906,3.1018120921828563,-9.330664646800091,-29.345481888718428,20.014817241918337
2021-08-31,2021-08,36.23532547886201,17.90436145195573,18.33096402690628,66.56460370840185,68.40831852747957,-1.843714819077718,67.49564023438374,13.913743397421197,53.58189683696254,3.801228024161189,-0.4394829188668625,4.901722835299127,-5.34120575416599
