Date,Momentum_Close,Value_Close,Momentum_Value_Ratio,MA_30_Week
2005-04-01,1000.0,1000.0,1.0,1.0
2005-04-08,979.83,981.15,0.9986546399633084,0.9993273199816541
2005-04-15,951.85,952.84,0.9989610007976155,0.9992052135869747
2005-04-22,965.11,955.03,1.0105546422625469,1.0020425707558678
2005-04-29,924.62,909.96,1.0161105982680556,1.0048561762583053
2005-05-06,965.34,955.87,1.0099072049546487,1.0056980143743626
2005-05-13,979.8,961.8,1.018714909544604,1.0075575708272542
2005-05-20,987.48,961.5,1.0270202808112325,1.0099904095752514
2005-05-27,1013.73,986.21,1.0279048072925645,1.0119808982105085
2005-06-04,1009.69,982.94,1.0272142755407248,1.0135042359435302
2005-06-10,1024.38,987.18,1.037683097307482,1.0157023142493438
2005-06-17,1030.48,983.27,1.0480132618711036,1.0183948932178237
2005-06-24,1042.78,1003.15,1.0395055574938943,1.0200187904698292
2005-07-01,1051.13,1005.0,1.045900497512438,1.0218674838300157
2005-07-08,1065.08,1011.84,1.0526170145477545,1.0239174525445316
2005-07-15,1071.42,1033.69,1.0365003047335275,1.0247038808063438
2005-07-22,1103.07,1056.16,1.0444156188456293,1.0258633948086546
2005-07-29,1143.5,1088.12,1.0508951218615594,1.0272540463115938
2005-08-05,1157.98,1114.18,1.0393114218528423,1.0278886450242912
2005-08-12,1158.41,1106.57,1.046847465591874,1.0288365860526703
2005-08-19,1154.95,1105.65,1.0445891557002667,1.0295867084168415
2005-08-26,1134.96,1088.57,1.042615541490212,1.0301789281019949
2005-09-02,1158.81,1114.74,1.0395338823402767,1.0305856652427896
2005-09-09,1190.38,1142.21,1.0421726302518801,1.0310684554515017
2005-09-16,1232.57,1180.07,1.0444888862525104,1.031605272683542
2005-09-23,1195.34,1152.23,1.0374144051100909,1.0318287008537939
2005-09-30,1246.8,1206.45,1.0334452318786522,1.0318885723732332
2005-10-07,1230.32,1205.4,1.0206736353077814,1.03148803890661
2005-10-14,1180.29,1157.22,1.0199357079898377,1.0310896826681004
2005-10-21,1150.81,1118.64,1.028758134878066,1.0310119644084326
2005-10-28,1091.62,1053.25,1.0364300973178258,1.0322263009856936
2005-11-02,1150.56,1089.68,1.055869613097423,1.0341334667568307
2005-11-11,1219.43,1161.53,1.0498480452506609,1.0358297015719322
2005-11-18,1256.04,1181.18,1.0633773006654361,1.0375904568520284
2005-11-26,1326.16,1189.44,1.1149448479956954,1.0408849318429498
2005-12-02,1349.91,1198.63,1.1262107572812294,1.0447617169205026
2005-12-09,1379.26,1190.87,1.1581952690050132,1.0494110622358497
2005-12-16,1392.15,1240.33,1.1224029089032759,1.0525904831722508
2005-12-23,1381.69,1240.58,1.1137451837043963,1.0554518290526453
2005-12-30,1396.2,1262.39,1.1059973542249226,1.0580779316754518
2006-01-06,1441.88,1322.92,1.0899222931091828,1.0598192382021752
2006-01-13,1430.71,1295.3,1.1045394889214855,1.0617034457705212
2006-01-20,1465.66,1281.32,1.14386726188618,1.0651821692502643
2006-01-27,1519.01,1300.72,1.1678224368042314,1.069246233893324
2006-02-03,1502.36,1284.46,1.169643274216402,1.0731471092156122
2006-02-10,1550.08,1314.4,1.1793061472915398,1.077907303967546
2006-02-17,1530.69,1295.56,1.181489085800735,1.0824764195327163
2006-02-24,1550.96,1322.33,1.1728993519015678,1.0865432272007165
2006-03-03,1653.2,1331.77,1.2413554893112175,1.093278029449329
2006-03-10,1689.92,1338.32,1.262717436786419,1.1004736951558136
