"Index Name","Date","Open","High","Low","Close"
"NIFTY200 ALPHA 30","07 Apr 2010","-","-","-","2006.42"
"NIFTY200 ALPHA 30","06 Apr 2010","-","-","-","2011.80"
"NIFTY200 ALPHA 30","05 Apr 2010","-","-","-","2021.05"
"NIFTY200 ALPHA 30","01 Apr 2010","-","-","-","1999.81"
"NIFTY200 ALPHA 30","31 Mar 2010","-","-","-","1985.53"
"NIFTY200 ALPHA 30","30 Mar 2010","-","-","-","1982.86"
"NIFTY200 ALPHA 30","29 Mar 2010","-","-","-","1996.53"
"NIFTY200 ALPHA 30","26 Mar 2010","-","-","-","1992.45"
"NIFTY200 ALPHA 30","25 Mar 2010","-","-","-","1974.03"
"NIFTY200 ALPHA 30","23 Mar 2010","-","-","-","1973.09"
"NIFTY200 ALPHA 30","22 Mar 2010","-","-","-","1968.27"
"NIFTY200 ALPHA 30","19 Mar 2010","-","-","-","1981.53"
"NIFTY200 ALPHA 30","18 Mar 2010","-","-","-","1974.54"
"NIFTY200 ALPHA 30","17 Mar 2010","-","-","-","1971.40"
"NIFTY200 ALPHA 30","16 Mar 2010","-","-","-","1962.65"
"NIFTY200 ALPHA 30","15 Mar 2010","-","-","-","1948.25"
"NIFTY200 ALPHA 30","12 Mar 2010","-","-","-","1952.87"
"NIFTY200 ALPHA 30","11 Mar 2010","-","-","-","1951.77"
"NIFTY200 ALPHA 30","10 Mar 2010","-","-","-","1955.06"
"NIFTY200 ALPHA 30","09 Mar 2010","-","-","-","1977.93"
"NIFTY200 ALPHA 30","08 Mar 2010","-","-","-","1993.60"
"NIFTY200 ALPHA 30","05 Mar 2010","-","-","-","1984.66"
"NIFTY200 ALPHA 30","04 Mar 2010","-","-","-","1975.30"
"NIFTY200 ALPHA 30","03 Mar 2010","-","-","-","1948.48"
"NIFTY200 ALPHA 30","02 Mar 2010","-","-","-","1912.81"
"NIFTY200 ALPHA 30","26 Feb 2010","-","-","-","1872.52"
"NIFTY200 ALPHA 30","25 Feb 2010","-","-","-","1838.82"
"NIFTY200 ALPHA 30","24 Feb 2010","-","-","-","1854.98"
"NIFTY200 ALPHA 30","23 Feb 2010","-","-","-","1853.46"
"NIFTY200 ALPHA 30","22 Feb 2010","-","-","-","1864.67"
"NIFTY200 ALPHA 30","19 Feb 2010","-","-","-","1869.85"
"NIFTY200 ALPHA 30","18 Feb 2010","-","-","-","1897.07"
"NIFTY200 ALPHA 30","17 Feb 2010","-","-","-","1918.88"
"NIFTY200 ALPHA 30","16 Feb 2010","-","-","-","1898.76"
"NIFTY200 ALPHA 30","15 Feb 2010","-","-","-","1882.26"
"NIFTY200 ALPHA 30","11 Feb 2010","-","-","-","1884.31"
"NIFTY200 ALPHA 30","10 Feb 2010","-","-","-","1858.23"
"NIFTY200 ALPHA 30","09 Feb 2010","-","-","-","1870.66"
"NIFTY200 ALPHA 30","08 Feb 2010","-","-","-","1857.39"
"NIFTY200 ALPHA 30","06 Feb 2010","-","-","-","1859.49"
"NIFTY200 ALPHA 30","05 Feb 2010","-","-","-","1836.42"
"NIFTY200 ALPHA 30","04 Feb 2010","-","-","-","1884.46"
"NIFTY200 ALPHA 30","03 Feb 2010","-","-","-","1929.66"
"NIFTY200 ALPHA 30","02 Feb 2010","-","-","-","1891.82"
"NIFTY200 ALPHA 30","01 Feb 2010","-","-","-","1921.93"
"NIFTY200 ALPHA 30","29 Jan 2010","-","-","-","1882.27"
"NIFTY200 ALPHA 30","28 Jan 2010","-","-","-","1877.78"
"NIFTY200 ALPHA 30","27 Jan 2010","-","-","-","1869.98"
"NIFTY200 ALPHA 30","25 Jan 2010","-","-","-","1963.80"
"NIFTY200 ALPHA 30","22 Jan 2010","-","-","-","1987.26"
"NIFTY200 ALPHA 30","21 Jan 2010","-","-","-","1999.07"
"NIFTY200 ALPHA 30","20 Jan 2010","-","-","-","2040.87"
"NIFTY200 ALPHA 30","19 Jan 2010","-","-","-","2042.94"
"NIFTY200 ALPHA 30","18 Jan 2010","-","-","-","2062.35"
"NIFTY200 ALPHA 30","15 Jan 2010","-","-","-","2073.11"
"NIFTY200 ALPHA 30","14 Jan 2010","-","-","-","2069.63"
"NIFTY200 ALPHA 30","13 Jan 2010","-","-","-","2046.01"
"NIFTY200 ALPHA 30","12 Jan 2010","-","-","-","2033.47"
"NIFTY200 ALPHA 30","11 Jan 2010","-","-","-","2039.47"
"NIFTY200 ALPHA 30","08 Jan 2010","-","-","-","2028.18"
"NIFTY200 ALPHA 30","07 Jan 2010","-","-","-","2029.19"
"NIFTY200 ALPHA 30","06 Jan 2010","-","-","-","2048.59"
"NIFTY200 ALPHA 30","05 Jan 2010","-","-","-","2047.82"
"NIFTY200 ALPHA 30","04 Jan 2010","-","-","-","2033.94"
