"Index Name","Date","Open","High","Low","Close"
"NIFTY200 ALPHA 30","08 Jun 2009","-","-","-","1483.00"
"NIFTY200 ALPHA 30","05 Jun 2009","-","-","-","1532.76"
"NIFTY200 ALPHA 30","04 Jun 2009","-","-","-","1519.75"
"NIFTY200 ALPHA 30","03 Jun 2009","-","-","-","1499.83"
"NIFTY200 ALPHA 30","02 Jun 2009","-","-","-","1492.95"
"NIFTY200 ALPHA 30","01 Jun 2009","-","-","-","1500.23"
"NIFTY200 ALPHA 30","29 May 2009","-","-","-","1470.77"
"NIFTY200 ALPHA 30","28 May 2009","-","-","-","1443.19"
"NIFTY200 ALPHA 30","27 May 2009","-","-","-","1438.50"
"NIFTY200 ALPHA 30","26 May 2009","-","-","-","1411.83"
"NIFTY200 ALPHA 30","25 May 2009","-","-","-","1447.23"
"NIFTY200 ALPHA 30","22 May 2009","-","-","-","1438.56"
"NIFTY200 ALPHA 30","21 May 2009","-","-","-","1438.51"
"NIFTY200 ALPHA 30","20 May 2009","-","-","-","1449.08"
"NIFTY200 ALPHA 30","19 May 2009","-","-","-","1440.87"
"NIFTY200 ALPHA 30","18 May 2009","-","-","-","1463.77"
"NIFTY200 ALPHA 30","15 May 2009","-","-","-","1288.41"
"NIFTY200 ALPHA 30","14 May 2009","-","-","-","1275.11"
"NIFTY200 ALPHA 30","13 May 2009","-","-","-","1278.67"
"NIFTY200 ALPHA 30","12 May 2009","-","-","-","1284.03"
"NIFTY200 ALPHA 30","11 May 2009","-","-","-","1254.76"
"NIFTY200 ALPHA 30","08 May 2009","-","-","-","1270.14"
"NIFTY200 ALPHA 30","07 May 2009","-","-","-","1282.55"
"NIFTY200 ALPHA 30","06 May 2009","-","-","-","1270.37"
"NIFTY200 ALPHA 30","05 May 2009","-","-","-","1284.77"
"NIFTY200 ALPHA 30","04 May 2009","-","-","-","1284.24"
"NIFTY200 ALPHA 30","29 Apr 2009","-","-","-","1249.87"
"NIFTY200 ALPHA 30","28 Apr 2009","-","-","-","1224.72"
"NIFTY200 ALPHA 30","27 Apr 2009","-","-","-","1251.43"
"NIFTY200 ALPHA 30","24 Apr 2009","-","-","-","1261.35"
"NIFTY200 ALPHA 30","23 Apr 2009","-","-","-","1245.32"
"NIFTY200 ALPHA 30","22 Apr 2009","-","-","-","1222.76"
"NIFTY200 ALPHA 30","21 Apr 2009","-","-","-","1234.20"
"NIFTY200 ALPHA 30","20 Apr 2009","-","-","-","1240.10"
"NIFTY200 ALPHA 30","17 Apr 2009","-","-","-","1232.10"
"NIFTY200 ALPHA 30","16 Apr 2009","-","-","-","1220.02"
"NIFTY200 ALPHA 30","15 Apr 2009","-","-","-","1235.76"
"NIFTY200 ALPHA 30","13 Apr 2009","-","-","-","1211.53"
"NIFTY200 ALPHA 30","09 Apr 2009","-","-","-","1210.00"
"NIFTY200 ALPHA 30","08 Apr 2009","-","-","-","1210.76"
"NIFTY200 ALPHA 30","06 Apr 2009","-","-","-","1183.56"
"NIFTY200 ALPHA 30","02 Apr 2009","-","-","-","1183.08"
"NIFTY200 ALPHA 30","01 Apr 2009","-","-","-","1156.72"
"NIFTY200 ALPHA 30","31 Mar 2009","-","-","-","1162.59"
"NIFTY200 ALPHA 30","30 Mar 2009","-","-","-","1142.84"
"NIFTY200 ALPHA 30","27 Mar 2009","-","-","-","1168.09"
"NIFTY200 ALPHA 30","26 Mar 2009","-","-","-","1152.87"
"NIFTY200 ALPHA 30","25 Mar 2009","-","-","-","1121.65"
"NIFTY200 ALPHA 30","24 Mar 2009","-","-","-","1109.72"
"NIFTY200 ALPHA 30","23 Mar 2009","-","-","-","1107.85"
"NIFTY200 ALPHA 30","20 Mar 2009","-","-","-","1069.69"
"NIFTY200 ALPHA 30","19 Mar 2009","-","-","-","1076.71"
"NIFTY200 ALPHA 30","18 Mar 2009","-","-","-","1073.21"
"NIFTY200 ALPHA 30","17 Mar 2009","-","-","-","1071.61"
"NIFTY200 ALPHA 30","16 Mar 2009","-","-","-","1077.87"
"NIFTY200 ALPHA 30","13 Mar 2009","-","-","-","1056.33"
"NIFTY200 ALPHA 30","12 Mar 2009","-","-","-","1039.08"
"NIFTY200 ALPHA 30","09 Mar 2009","-","-","-","1027.11"
"NIFTY200 ALPHA 30","06 Mar 2009","-","-","-","1049.75"
"NIFTY200 ALPHA 30","05 Mar 2009","-","-","-","1046.13"
"NIFTY200 ALPHA 30","04 Mar 2009","-","-","-","1068.51"
"NIFTY200 ALPHA 30","03 Mar 2009","-","-","-","1060.47"
"NIFTY200 ALPHA 30","02 Mar 2009","-","-","-","1077.90"
"NIFTY200 ALPHA 30","27 Feb 2009","-","-","-","1100.66"
"NIFTY200 ALPHA 30","26 Feb 2009","-","-","-","1091.34"
"NIFTY200 ALPHA 30","25 Feb 2009","-","-","-","1093.84"
"NIFTY200 ALPHA 30","24 Feb 2009","-","-","-","1089.24"
"NIFTY200 ALPHA 30","20 Feb 2009","-","-","-","1098.41"
"NIFTY200 ALPHA 30","19 Feb 2009","-","-","-","1114.85"
"NIFTY200 ALPHA 30","18 Feb 2009","-","-","-","1113.68"
"NIFTY200 ALPHA 30","17 Feb 2009","-","-","-","1110.77"
"NIFTY200 ALPHA 30","16 Feb 2009","-","-","-","1133.94"
"NIFTY200 ALPHA 30","13 Feb 2009","-","-","-","1161.08"
"NIFTY200 ALPHA 30","12 Feb 2009","-","-","-","1153.36"
"NIFTY200 ALPHA 30","11 Feb 2009","-","-","-","1155.92"
"NIFTY200 ALPHA 30","10 Feb 2009","-","-","-","1155.84"
"NIFTY200 ALPHA 30","09 Feb 2009","-","-","-","1145.14"
"NIFTY200 ALPHA 30","06 Feb 2009","-","-","-","1126.69"
"NIFTY200 ALPHA 30","05 Feb 2009","-","-","-","1113.27"
"NIFTY200 ALPHA 30","04 Feb 2009","-","-","-","1119.66"
"NIFTY200 ALPHA 30","03 Feb 2009","-","-","-","1116.83"
"NIFTY200 ALPHA 30","02 Feb 2009","-","-","-","1118.61"
"NIFTY200 ALPHA 30","30 Jan 2009","-","-","-","1139.85"
"NIFTY200 ALPHA 30","29 Jan 2009","-","-","-","1130.05"
"NIFTY200 ALPHA 30","28 Jan 2009","-","-","-","1133.77"
"NIFTY200 ALPHA 30","27 Jan 2009","-","-","-","1115.56"
"NIFTY200 ALPHA 30","23 Jan 2009","-","-","-","1095.85"
"NIFTY200 ALPHA 30","22 Jan 2009","-","-","-","1115.22"
"NIFTY200 ALPHA 30","21 Jan 2009","-","-","-","1111.25"
"NIFTY200 ALPHA 30","20 Jan 2009","-","-","-","1138.34"
"NIFTY200 ALPHA 30","19 Jan 2009","-","-","-","1151.52"
"NIFTY200 ALPHA 30","16 Jan 2009","-","-","-","1150.24"
"NIFTY200 ALPHA 30","15 Jan 2009","-","-","-","1121.09"
"NIFTY200 ALPHA 30","14 Jan 2009","-","-","-","1149.77"
"NIFTY200 ALPHA 30","13 Jan 2009","-","-","-","1129.28"
"NIFTY200 ALPHA 30","12 Jan 2009","-","-","-","1133.56"
"NIFTY200 ALPHA 30","09 Jan 2009","-","-","-","1161.28"
"NIFTY200 ALPHA 30","07 Jan 2009","-","-","-","1164.13"
"NIFTY200 ALPHA 30","06 Jan 2009","-","-","-","1209.00"
"NIFTY200 ALPHA 30","05 Jan 2009","-","-","-","1212.76"
"NIFTY200 ALPHA 30","02 Jan 2009","-","-","-","1204.01"
"NIFTY200 ALPHA 30","01 Jan 2009","-","-","-","1200.50"
