"Index Name","Date","Open","High","Low","Close"
"NIFTY200 ALPHA 30","30 Dec 2005","-","-","-","1388.31"
"NIFTY200 ALPHA 30","29 Dec 2005","-","-","-","1368.93"
"NIFTY200 ALPHA 30","28 Dec 2005","-","-","-","1365.40"
"NIFTY200 ALPHA 30","27 Dec 2005","-","-","-","1363.48"
"NIFTY200 ALPHA 30","26 Dec 2005","-","-","-","1324.99"
"NIFTY200 ALPHA 30","23 Dec 2005","-","-","-","1366.96"
"NIFTY200 ALPHA 30","22 Dec 2005","-","-","-","1383.05"
"NIFTY200 ALPHA 30","21 Dec 2005","-","-","-","1379.13"
"NIFTY200 ALPHA 30","20 Dec 2005","-","-","-","1384.19"
"NIFTY200 ALPHA 30","19 Dec 2005","-","-","-","1388.30"
"NIFTY200 ALPHA 30","16 Dec 2005","-","-","-","1366.06"
"NIFTY200 ALPHA 30","15 Dec 2005","-","-","-","1345.01"
"NIFTY200 ALPHA 30","14 Dec 2005","-","-","-","1381.69"
"NIFTY200 ALPHA 30","13 Dec 2005","-","-","-","1381.67"
"NIFTY200 ALPHA 30","12 Dec 2005","-","-","-","1370.76"
"NIFTY200 ALPHA 30","09 Dec 2005","-","-","-","1368.90"
"NIFTY200 ALPHA 30","08 Dec 2005","-","-","-","1350.18"
"NIFTY200 ALPHA 30","07 Dec 2005","-","-","-","1334.56"
"NIFTY200 ALPHA 30","06 Dec 2005","-","-","-","1323.11"
"NIFTY200 ALPHA 30","05 Dec 2005","-","-","-","1326.62"
"NIFTY200 ALPHA 30","02 Dec 2005","-","-","-","1334.49"
"NIFTY200 ALPHA 30","01 Dec 2005","-","-","-","1321.79"
"NIFTY200 ALPHA 30","30 Nov 2005","-","-","-","1289.83"
"NIFTY200 ALPHA 30","29 Nov 2005","-","-","-","1310.62"
"NIFTY200 ALPHA 30","28 Nov 2005","-","-","-","1320.07"
"NIFTY200 ALPHA 30","26 Nov 2005","-","-","-","1307.49"
"NIFTY200 ALPHA 30","25 Nov 2005","-","-","-","1280.40"
"NIFTY200 ALPHA 30","24 Nov 2005","-","-","-","1255.40"
"NIFTY200 ALPHA 30","23 Nov 2005","-","-","-","1246.39"
"NIFTY200 ALPHA 30","22 Nov 2005","-","-","-","1233.15"
"NIFTY200 ALPHA 30","21 Nov 2005","-","-","-","1237.79"
"NIFTY200 ALPHA 30","18 Nov 2005","-","-","-","1244.55"
"NIFTY200 ALPHA 30","17 Nov 2005","-","-","-","1238.24"
"NIFTY200 ALPHA 30","16 Nov 2005","-","-","-","1225.00"
"NIFTY200 ALPHA 30","14 Nov 2005","-","-","-","1210.00"
"NIFTY200 ALPHA 30","11 Nov 2005","-","-","-","1201.26"
"NIFTY200 ALPHA 30","10 Nov 2005","-","-","-","1181.99"
"NIFTY200 ALPHA 30","09 Nov 2005","-","-","-","1172.23"
"NIFTY200 ALPHA 30","08 Nov 2005","-","-","-","1176.17"
"NIFTY200 ALPHA 30","07 Nov 2005","-","-","-","1161.78"
"NIFTY200 ALPHA 30","02 Nov 2005","-","-","-","1136.69"
"NIFTY200 ALPHA 30","01 Nov 2005","-","-","-","1129.88"
"NIFTY200 ALPHA 30","31 Oct 2005","-","-","-","1120.51"
"NIFTY200 ALPHA 30","28 Oct 2005","-","-","-","1068.75"
"NIFTY200 ALPHA 30","27 Oct 2005","-","-","-","1084.21"
"NIFTY200 ALPHA 30","26 Oct 2005","-","-","-","1127.45"
"NIFTY200 ALPHA 30","25 Oct 2005","-","-","-","1133.92"
"NIFTY200 ALPHA 30","24 Oct 2005","-","-","-","1123.41"
"NIFTY200 ALPHA 30","21 Oct 2005","-","-","-","1140.20"
"NIFTY200 ALPHA 30","20 Oct 2005","-","-","-","1114.26"
"NIFTY200 ALPHA 30","19 Oct 2005","-","-","-","1142.67"
"NIFTY200 ALPHA 30","18 Oct 2005","-","-","-","1174.45"
"NIFTY200 ALPHA 30","17 Oct 2005","-","-","-","1186.47"
"NIFTY200 ALPHA 30","14 Oct 2005","-","-","-","1196.74"
"NIFTY200 ALPHA 30","13 Oct 2005","-","-","-","1227.34"
"NIFTY200 ALPHA 30","11 Oct 2005","-","-","-","1239.66"
"NIFTY200 ALPHA 30","10 Oct 2005","-","-","-","1238.01"
"NIFTY200 ALPHA 30","07 Oct 2005","-","-","-","1247.84"
"NIFTY200 ALPHA 30","06 Oct 2005","-","-","-","1255.74"
"NIFTY200 ALPHA 30","05 Oct 2005","-","-","-","1280.34"
"NIFTY200 ALPHA 30","04 Oct 2005","-","-","-","1294.80"
"NIFTY200 ALPHA 30","03 Oct 2005","-","-","-","1277.45"
"NIFTY200 ALPHA 30","30 Sep 2005","-","-","-","1258.53"
"NIFTY200 ALPHA 30","29 Sep 2005","-","-","-","1251.93"
"NIFTY200 ALPHA 30","28 Sep 2005","-","-","-","1262.43"
"NIFTY200 ALPHA 30","27 Sep 2005","-","-","-","1255.82"
