"Index Name","Date","Open","High","Low","Close"
"NIFTY200 ALPHA 30","29 Dec 2023","-","-","-","20858.57"
"NIFTY200 ALPHA 30","28 Dec 2023","-","-","-","20626.66"
"NIFTY200 ALPHA 30","27 Dec 2023","-","-","-","20457.96"
"NIFTY200 ALPHA 30","26 Dec 2023","-","-","-","20380.54"
"NIFTY200 ALPHA 30","22 Dec 2023","-","-","-","20187.90"
"NIFTY200 ALPHA 30","21 Dec 2023","-","-","-","20196.46"
"NIFTY200 ALPHA 30","20 Dec 2023","-","-","-","19857.92"
"NIFTY200 ALPHA 30","19 Dec 2023","-","-","-","20705.40"
"NIFTY200 ALPHA 30","18 Dec 2023","-","-","-","20775.10"
"NIFTY200 ALPHA 30","15 Dec 2023","-","-","-","20624.30"
"NIFTY200 ALPHA 30","14 Dec 2023","-","-","-","20660.29"
"NIFTY200 ALPHA 30","13 Dec 2023","-","-","-","20489.68"
"NIFTY200 ALPHA 30","12 Dec 2023","-","-","-","20091.32"
"NIFTY200 ALPHA 30","11 Dec 2023","-","-","-","20146.90"
"NIFTY200 ALPHA 30","08 Dec 2023","-","-","-","19940.40"
"NIFTY200 ALPHA 30","07 Dec 2023","-","-","-","19971.91"
"NIFTY200 ALPHA 30","06 Dec 2023","-","-","-","19958.54"
"NIFTY200 ALPHA 30","05 Dec 2023","-","-","-","19803.38"
"NIFTY200 ALPHA 30","04 Dec 2023","-","-","-","19681.35"
"NIFTY200 ALPHA 30","01 Dec 2023","-","-","-","19392.59"
"NIFTY200 ALPHA 30","30 Nov 2023","-","-","-","18973.16"
"NIFTY200 ALPHA 30","29 Nov 2023","-","-","-","18747.99"
"NIFTY200 ALPHA 30","28 Nov 2023","-","-","-","18565.60"
"NIFTY200 ALPHA 30","24 Nov 2023","-","-","-","18421.08"
"NIFTY200 ALPHA 30","23 Nov 2023","-","-","-","18328.79"
"NIFTY200 ALPHA 30","22 Nov 2023","-","-","-","18302.45"
"NIFTY200 ALPHA 30","21 Nov 2023","-","-","-","18361.53"
"NIFTY200 ALPHA 30","20 Nov 2023","-","-","-","18371.03"
"NIFTY200 ALPHA 30","17 Nov 2023","-","-","-","18310.95"
"NIFTY200 ALPHA 30","16 Nov 2023","-","-","-","18297.90"
"NIFTY200 ALPHA 30","15 Nov 2023","-","-","-","18164.85"
"NIFTY200 ALPHA 30","13 Nov 2023","-","-","-","17984.46"
"NIFTY200 ALPHA 30","12 Nov 2023","-","-","-","17837.39"
"NIFTY200 ALPHA 30","10 Nov 2023","-","-","-","17736.30"
"NIFTY200 ALPHA 30","09 Nov 2023","-","-","-","17572.61"
"NIFTY200 ALPHA 30","08 Nov 2023","-","-","-","17501.52"
"NIFTY200 ALPHA 30","07 Nov 2023","-","-","-","17310.04"
"NIFTY200 ALPHA 30","06 Nov 2023","-","-","-","17180.17"
"NIFTY200 ALPHA 30","03 Nov 2023","-","-","-","17045.66"
"NIFTY200 ALPHA 30","02 Nov 2023","-","-","-","16906.71"
"NIFTY200 ALPHA 30","01 Nov 2023","-","-","-","16559.47"
"NIFTY200 ALPHA 30","31 Oct 2023","-","-","-","16663.71"
"NIFTY200 ALPHA 30","30 Oct 2023","-","-","-","16648.20"
"NIFTY200 ALPHA 30","27 Oct 2023","-","-","-","16687.76"
"NIFTY200 ALPHA 30","26 Oct 2023","-","-","-","16406.33"
"NIFTY200 ALPHA 30","25 Oct 2023","-","-","-","16549.74"
"NIFTY200 ALPHA 30","23 Oct 2023","-","-","-","16679.85"
"NIFTY200 ALPHA 30","20 Oct 2023","-","-","-","17089.63"
"NIFTY200 ALPHA 30","19 Oct 2023","-","-","-","17375.00"
"NIFTY200 ALPHA 30","18 Oct 2023","-","-","-","17347.72"
"NIFTY200 ALPHA 30","17 Oct 2023","-","-","-","17592.07"
"NIFTY200 ALPHA 30","16 Oct 2023","-","-","-","17524.87"
"NIFTY200 ALPHA 30","13 Oct 2023","-","-","-","17443.15"
"NIFTY200 ALPHA 30","12 Oct 2023","-","-","-","17470.34"
"NIFTY200 ALPHA 30","11 Oct 2023","-","-","-","17460.58"
"NIFTY200 ALPHA 30","10 Oct 2023","-","-","-","17416.77"
"NIFTY200 ALPHA 30","09 Oct 2023","-","-","-","17126.00"
"NIFTY200 ALPHA 30","06 Oct 2023","-","-","-","17366.90"
"NIFTY200 ALPHA 30","05 Oct 2023","-","-","-","17199.61"
"NIFTY200 ALPHA 30","04 Oct 2023","-","-","-","17208.04"
"NIFTY200 ALPHA 30","03 Oct 2023","-","-","-","17580.03"
"NIFTY200 ALPHA 30","29 Sep 2023","-","-","-","17532.28"
"NIFTY200 ALPHA 30","28 Sep 2023","-","-","-","17227.45"
"NIFTY200 ALPHA 30","27 Sep 2023","-","-","-","17514.33"
"NIFTY200 ALPHA 30","26 Sep 2023","-","-","-","17234.91"
"NIFTY200 ALPHA 30","25 Sep 2023","-","-","-","17269.01"
"NIFTY200 ALPHA 30","22 Sep 2023","-","-","-","17149.89"
"NIFTY200 ALPHA 30","21 Sep 2023","-","-","-","17047.54"
"NIFTY200 ALPHA 30","20 Sep 2023","-","-","-","17218.72"
"NIFTY200 ALPHA 30","18 Sep 2023","-","-","-","17242.15"
"NIFTY200 ALPHA 30","15 Sep 2023","-","-","-","17188.02"
"NIFTY200 ALPHA 30","14 Sep 2023","-","-","-","17180.11"
"NIFTY200 ALPHA 30","13 Sep 2023","-","-","-","17034.89"
"NIFTY200 ALPHA 30","12 Sep 2023","-","-","-","16893.20"
"NIFTY200 ALPHA 30","11 Sep 2023","-","-","-","17517.76"
"NIFTY200 ALPHA 30","08 Sep 2023","-","-","-","17364.02"
"NIFTY200 ALPHA 30","07 Sep 2023","-","-","-","17051.03"
"NIFTY200 ALPHA 30","06 Sep 2023","-","-","-","16932.52"
"NIFTY200 ALPHA 30","05 Sep 2023","-","-","-","16979.92"
"NIFTY200 ALPHA 30","04 Sep 2023","-","-","-","16948.28"
"NIFTY200 ALPHA 30","01 Sep 2023","-","-","-","16738.86"
"NIFTY200 ALPHA 30","31 Aug 2023","-","-","-","16524.17"
"NIFTY200 ALPHA 30","30 Aug 2023","-","-","-","16591.68"
"NIFTY200 ALPHA 30","29 Aug 2023","-","-","-","16417.41"
"NIFTY200 ALPHA 30","28 Aug 2023","-","-","-","16353.97"
"NIFTY200 ALPHA 30","25 Aug 2023","-","-","-","16218.84"
"NIFTY200 ALPHA 30","24 Aug 2023","-","-","-","16437.23"
"NIFTY200 ALPHA 30","23 Aug 2023","-","-","-","16462.84"
"NIFTY200 ALPHA 30","22 Aug 2023","-","-","-","16310.11"
"NIFTY200 ALPHA 30","21 Aug 2023","-","-","-","16081.65"
"NIFTY200 ALPHA 30","18 Aug 2023","-","-","-","15930.39"
"NIFTY200 ALPHA 30","17 Aug 2023","-","-","-","15997.02"
"NIFTY200 ALPHA 30","16 Aug 2023","-","-","-","15941.21"
"NIFTY200 ALPHA 30","14 Aug 2023","-","-","-","15989.72"
"NIFTY200 ALPHA 30","11 Aug 2023","-","-","-","16074.88"
"NIFTY200 ALPHA 30","10 Aug 2023","-","-","-","16084.09"
"NIFTY200 ALPHA 30","09 Aug 2023","-","-","-","16181.69"
"NIFTY200 ALPHA 30","08 Aug 2023","-","-","-","16107.59"
"NIFTY200 ALPHA 30","07 Aug 2023","-","-","-","16052.75"
"NIFTY200 ALPHA 30","04 Aug 2023","-","-","-","16022.40"
"NIFTY200 ALPHA 30","03 Aug 2023","-","-","-","16012.28"
"NIFTY200 ALPHA 30","02 Aug 2023","-","-","-","16042.23"
"NIFTY200 ALPHA 30","01 Aug 2023","-","-","-","16335.43"
"NIFTY200 ALPHA 30","31 Jul 2023","-","-","-","16432.44"
"NIFTY200 ALPHA 30","28 Jul 2023","-","-","-","16261.41"
"NIFTY200 ALPHA 30","27 Jul 2023","-","-","-","16114.43"
"NIFTY200 ALPHA 30","26 Jul 2023","-","-","-","16090.24"
"NIFTY200 ALPHA 30","25 Jul 2023","-","-","-","15909.25"
"NIFTY200 ALPHA 30","24 Jul 2023","-","-","-","15936.51"
"NIFTY200 ALPHA 30","21 Jul 2023","-","-","-","15820.19"
"NIFTY200 ALPHA 30","20 Jul 2023","-","-","-","15930.90"
"NIFTY200 ALPHA 30","19 Jul 2023","-","-","-","15950.77"
"NIFTY200 ALPHA 30","18 Jul 2023","-","-","-","15762.31"
"NIFTY200 ALPHA 30","17 Jul 2023","-","-","-","15782.76"
"NIFTY200 ALPHA 30","14 Jul 2023","-","-","-","15738.44"
"NIFTY200 ALPHA 30","13 Jul 2023","-","-","-","15655.79"
"NIFTY200 ALPHA 30","12 Jul 2023","-","-","-","15886.20"
"NIFTY200 ALPHA 30","11 Jul 2023","-","-","-","15840.70"
"NIFTY200 ALPHA 30","10 Jul 2023","-","-","-","15630.09"
"NIFTY200 ALPHA 30","07 Jul 2023","-","-","-","15682.47"
"NIFTY200 ALPHA 30","06 Jul 2023","-","-","-","15737.33"
"NIFTY200 ALPHA 30","05 Jul 2023","-","-","-","15685.87"
"NIFTY200 ALPHA 30","04 Jul 2023","-","-","-","15552.54"
"NIFTY200 ALPHA 30","03 Jul 2023","-","-","-","15617.54"
"NIFTY200 ALPHA 30","30 Jun 2023","-","-","-","15489.39"
"NIFTY200 ALPHA 30","28 Jun 2023","-","-","-","15366.78"
"NIFTY200 ALPHA 30","27 Jun 2023","-","-","-","15156.79"
"NIFTY200 ALPHA 30","26 Jun 2023","-","-","-","15069.70"
"NIFTY200 ALPHA 30","23 Jun 2023","-","-","-","15016.30"
"NIFTY200 ALPHA 30","22 Jun 2023","-","-","-","15160.63"
