"Index Name","Date","Open","High","Low","Close"
"NIFTY200 ALPHA 30","31 Dec 2021","-","-","-","14816.47"
"NIFTY200 ALPHA 30","30 Dec 2021","-","-","-","14648.79"
"NIFTY200 ALPHA 30","29 Dec 2021","-","-","-","14678.55"
"NIFTY200 ALPHA 30","28 Dec 2021","-","-","-","14711.74"
"NIFTY200 ALPHA 30","27 Dec 2021","-","-","-","14535.59"
"NIFTY200 ALPHA 30","24 Dec 2021","-","-","-","14443.75"
"NIFTY200 ALPHA 30","23 Dec 2021","-","-","-","14481.30"
"NIFTY200 ALPHA 30","22 Dec 2021","-","-","-","14394.88"
"NIFTY200 ALPHA 30","21 Dec 2021","-","-","-","14151.00"
"NIFTY200 ALPHA 30","20 Dec 2021","-","-","-","13782.42"
"NIFTY200 ALPHA 30","17 Dec 2021","-","-","-","14314.01"
"NIFTY200 ALPHA 30","16 Dec 2021","-","-","-","14589.55"
"NIFTY200 ALPHA 30","15 Dec 2021","-","-","-","14522.94"
"NIFTY200 ALPHA 30","14 Dec 2021","-","-","-","14662.64"
"NIFTY200 ALPHA 30","13 Dec 2021","-","-","-","14681.91"
"NIFTY200 ALPHA 30","10 Dec 2021","-","-","-","14661.25"
"NIFTY200 ALPHA 30","09 Dec 2021","-","-","-","14613.50"
"NIFTY200 ALPHA 30","08 Dec 2021","-","-","-","14603.18"
"NIFTY200 ALPHA 30","07 Dec 2021","-","-","-","14354.57"
"NIFTY200 ALPHA 30","06 Dec 2021","-","-","-","14100.76"
"NIFTY200 ALPHA 30","03 Dec 2021","-","-","-","14403.14"
"NIFTY200 ALPHA 30","02 Dec 2021","-","-","-","14490.01"
"NIFTY200 ALPHA 30","01 Dec 2021","-","-","-","14226.48"
"NIFTY200 ALPHA 30","30 Nov 2021","-","-","-","14062.39"
"NIFTY200 ALPHA 30","29 Nov 2021","-","-","-","14102.99"
"NIFTY200 ALPHA 30","26 Nov 2021","-","-","-","14118.23"
"NIFTY200 ALPHA 30","25 Nov 2021","-","-","-","14684.53"
"NIFTY200 ALPHA 30","24 Nov 2021","-","-","-","14521.20"
"NIFTY200 ALPHA 30","23 Nov 2021","-","-","-","14665.45"
"NIFTY200 ALPHA 30","22 Nov 2021","-","-","-","14382.45"
"NIFTY200 ALPHA 30","18 Nov 2021","-","-","-","14742.45"
"NIFTY200 ALPHA 30","17 Nov 2021","-","-","-","15067.18"
"NIFTY200 ALPHA 30","16 Nov 2021","-","-","-","14967.79"
"NIFTY200 ALPHA 30","15 Nov 2021","-","-","-","14948.57"
"NIFTY200 ALPHA 30","12 Nov 2021","-","-","-","14859.66"
"NIFTY200 ALPHA 30","11 Nov 2021","-","-","-","14651.42"
"NIFTY200 ALPHA 30","10 Nov 2021","-","-","-","14667.41"
"NIFTY200 ALPHA 30","09 Nov 2021","-","-","-","14734.07"
"NIFTY200 ALPHA 30","08 Nov 2021","-","-","-","14598.35"
"NIFTY200 ALPHA 30","04 Nov 2021","-","-","-","14354.94"
"NIFTY200 ALPHA 30","03 Nov 2021","-","-","-","14286.72"
"NIFTY200 ALPHA 30","02 Nov 2021","-","-","-","14292.35"
"NIFTY200 ALPHA 30","01 Nov 2021","-","-","-","14346.07"
"NIFTY200 ALPHA 30","29 Oct 2021","-","-","-","13990.94"
"NIFTY200 ALPHA 30","28 Oct 2021","-","-","-","14041.97"
"NIFTY200 ALPHA 30","27 Oct 2021","-","-","-","14369.39"
"NIFTY200 ALPHA 30","26 Oct 2021","-","-","-","14394.76"
"NIFTY200 ALPHA 30","25 Oct 2021","-","-","-","14103.19"
"NIFTY200 ALPHA 30","22 Oct 2021","-","-","-","14343.81"
"NIFTY200 ALPHA 30","21 Oct 2021","-","-","-","14627.44"
"NIFTY200 ALPHA 30","20 Oct 2021","-","-","-","14916.47"
"NIFTY200 ALPHA 30","19 Oct 2021","-","-","-","15446.05"
"NIFTY200 ALPHA 30","18 Oct 2021","-","-","-","15480.79"
"NIFTY200 ALPHA 30","14 Oct 2021","-","-","-","15212.12"
"NIFTY200 ALPHA 30","13 Oct 2021","-","-","-","14876.50"
"NIFTY200 ALPHA 30","12 Oct 2021","-","-","-","14544.11"
"NIFTY200 ALPHA 30","11 Oct 2021","-","-","-","14451.72"
"NIFTY200 ALPHA 30","08 Oct 2021","-","-","-","14518.51"
"NIFTY200 ALPHA 30","07 Oct 2021","-","-","-","14359.52"
"NIFTY200 ALPHA 30","06 Oct 2021","-","-","-","14198.44"
"NIFTY200 ALPHA 30","05 Oct 2021","-","-","-","14341.93"
"NIFTY200 ALPHA 30","04 Oct 2021","-","-","-","14273.50"
"NIFTY200 ALPHA 30","01 Oct 2021","-","-","-","13912.58"
"NIFTY200 ALPHA 30","30 Sep 2021","-","-","-","13999.88"
"NIFTY200 ALPHA 30","29 Sep 2021","-","-","-","14038.28"
"NIFTY200 ALPHA 30","28 Sep 2021","-","-","-","13882.73"
"NIFTY200 ALPHA 30","27 Sep 2021","-","-","-","14099.57"
"NIFTY200 ALPHA 30","24 Sep 2021","-","-","-","14283.54"
"NIFTY200 ALPHA 30","23 Sep 2021","-","-","-","14434.09"
"NIFTY200 ALPHA 30","22 Sep 2021","-","-","-","14181.27"
"NIFTY200 ALPHA 30","21 Sep 2021","-","-","-","14045.83"
"NIFTY200 ALPHA 30","20 Sep 2021","-","-","-","13790.24"
"NIFTY200 ALPHA 30","17 Sep 2021","-","-","-","14291.77"
"NIFTY200 ALPHA 30","16 Sep 2021","-","-","-","14436.55"
"NIFTY200 ALPHA 30","15 Sep 2021","-","-","-","14440.30"
"NIFTY200 ALPHA 30","14 Sep 2021","-","-","-","14287.62"
"NIFTY200 ALPHA 30","13 Sep 2021","-","-","-","14240.57"
"NIFTY200 ALPHA 30","09 Sep 2021","-","-","-","14110.81"
"NIFTY200 ALPHA 30","08 Sep 2021","-","-","-","14093.92"
"NIFTY200 ALPHA 30","07 Sep 2021","-","-","-","14116.30"
"NIFTY200 ALPHA 30","06 Sep 2021","-","-","-","14194.44"
"NIFTY200 ALPHA 30","03 Sep 2021","-","-","-","14057.13"
