"Index Name","Date","Open","High","Low","Close"
"NIFTY200 ALPHA 30","31 Dec 2018","-","-","-","7130.12"
"NIFTY200 ALPHA 30","28 Dec 2018","-","-","-","7095.93"
"NIFTY200 ALPHA 30","27 Dec 2018","-","-","-","7043.94"
"NIFTY200 ALPHA 30","26 Dec 2018","-","-","-","6988.45"
"NIFTY200 ALPHA 30","24 Dec 2018","-","-","-","6980.69"
"NIFTY200 ALPHA 30","21 Dec 2018","-","-","-","7067.80"
"NIFTY200 ALPHA 30","20 Dec 2018","-","-","-","7211.49"
"NIFTY200 ALPHA 30","19 Dec 2018","-","-","-","7239.99"
"NIFTY200 ALPHA 30","18 Dec 2018","-","-","-","7151.64"
"NIFTY200 ALPHA 30","17 Dec 2018","-","-","-","7147.10"
"NIFTY200 ALPHA 30","14 Dec 2018","-","-","-","7110.39"
"NIFTY200 ALPHA 30","13 Dec 2018","-","-","-","7097.20"
"NIFTY200 ALPHA 30","12 Dec 2018","-","-","-","7044.35"
"NIFTY200 ALPHA 30","11 Dec 2018","-","-","-","6899.84"
"NIFTY200 ALPHA 30","10 Dec 2018","-","-","-","6796.65"
"NIFTY200 ALPHA 30","07 Dec 2018","-","-","-","6909.24"
"NIFTY200 ALPHA 30","06 Dec 2018","-","-","-","6864.62"
"NIFTY200 ALPHA 30","05 Dec 2018","-","-","-","7005.94"
"NIFTY200 ALPHA 30","04 Dec 2018","-","-","-","7078.48"
"NIFTY200 ALPHA 30","03 Dec 2018","-","-","-","7069.32"
"NIFTY200 ALPHA 30","30 Nov 2018","-","-","-","7048.00"
"NIFTY200 ALPHA 30","29 Nov 2018","-","-","-","6969.66"
"NIFTY200 ALPHA 30","28 Nov 2018","-","-","-","6929.15"
"NIFTY200 ALPHA 30","27 Nov 2018","-","-","-","6926.98"
"NIFTY200 ALPHA 30","26 Nov 2018","-","-","-","6899.27"
"NIFTY200 ALPHA 30","22 Nov 2018","-","-","-","6872.98"
"NIFTY200 ALPHA 30","21 Nov 2018","-","-","-","6922.08"
"NIFTY200 ALPHA 30","20 Nov 2018","-","-","-","6915.81"
"NIFTY200 ALPHA 30","19 Nov 2018","-","-","-","7002.44"
"NIFTY200 ALPHA 30","16 Nov 2018","-","-","-","6943.25"
"NIFTY200 ALPHA 30","15 Nov 2018","-","-","-","6932.89"
"NIFTY200 ALPHA 30","14 Nov 2018","-","-","-","6886.40"
"NIFTY200 ALPHA 30","13 Nov 2018","-","-","-","6925.95"
"NIFTY200 ALPHA 30","12 Nov 2018","-","-","-","6891.49"
"NIFTY200 ALPHA 30","09 Nov 2018","-","-","-","6911.50"
"NIFTY200 ALPHA 30","07 Nov 2018","-","-","-","6876.81"
"NIFTY200 ALPHA 30","06 Nov 2018","-","-","-","6831.05"
"NIFTY200 ALPHA 30","05 Nov 2018","-","-","-","6860.45"
"NIFTY200 ALPHA 30","02 Nov 2018","-","-","-","6872.69"
"NIFTY200 ALPHA 30","01 Nov 2018","-","-","-","6869.90"
"NIFTY200 ALPHA 30","31 Oct 2018","-","-","-","6884.89"
"NIFTY200 ALPHA 30","30 Oct 2018","-","-","-","6724.82"
"NIFTY200 ALPHA 30","29 Oct 2018","-","-","-","6690.39"
"NIFTY200 ALPHA 30","26 Oct 2018","-","-","-","6506.72"
"NIFTY200 ALPHA 30","25 Oct 2018","-","-","-","6528.59"
"NIFTY200 ALPHA 30","24 Oct 2018","-","-","-","6598.53"
"NIFTY200 ALPHA 30","23 Oct 2018","-","-","-","6535.28"
"NIFTY200 ALPHA 30","22 Oct 2018","-","-","-","6652.93"
"NIFTY200 ALPHA 30","19 Oct 2018","-","-","-","6696.96"
"NIFTY200 ALPHA 30","17 Oct 2018","-","-","-","6765.04"
"NIFTY200 ALPHA 30","16 Oct 2018","-","-","-","6891.48"
"NIFTY200 ALPHA 30","15 Oct 2018","-","-","-","6830.30"
"NIFTY200 ALPHA 30","12 Oct 2018","-","-","-","6811.44"
"NIFTY200 ALPHA 30","11 Oct 2018","-","-","-","6681.77"
"NIFTY200 ALPHA 30","10 Oct 2018","-","-","-","6865.15"
"NIFTY200 ALPHA 30","09 Oct 2018","-","-","-","6628.84"
"NIFTY200 ALPHA 30","08 Oct 2018","-","-","-","6681.48"
"NIFTY200 ALPHA 30","05 Oct 2018","-","-","-","6756.53"
"NIFTY200 ALPHA 30","04 Oct 2018","-","-","-","6920.22"
"NIFTY200 ALPHA 30","03 Oct 2018","-","-","-","7135.12"
"NIFTY200 ALPHA 30","01 Oct 2018","-","-","-","7291.98"
"NIFTY200 ALPHA 30","28 Sep 2018","-","-","-","7202.62"
"NIFTY200 ALPHA 30","27 Sep 2018","-","-","-","7323.54"
"NIFTY200 ALPHA 30","26 Sep 2018","-","-","-","7417.04"
"NIFTY200 ALPHA 30","25 Sep 2018","-","-","-","7406.43"
"NIFTY200 ALPHA 30","24 Sep 2018","-","-","-","7328.21"
"NIFTY200 ALPHA 30","21 Sep 2018","-","-","-","7444.10"
"NIFTY200 ALPHA 30","19 Sep 2018","-","-","-","7621.30"
"NIFTY200 ALPHA 30","18 Sep 2018","-","-","-","7670.94"
"NIFTY200 ALPHA 30","17 Sep 2018","-","-","-","7688.19"
"NIFTY200 ALPHA 30","14 Sep 2018","-","-","-","7742.97"
"NIFTY200 ALPHA 30","12 Sep 2018","-","-","-","7599.16"
"NIFTY200 ALPHA 30","11 Sep 2018","-","-","-","7550.01"
"NIFTY200 ALPHA 30","10 Sep 2018","-","-","-","7667.25"
"NIFTY200 ALPHA 30","07 Sep 2018","-","-","-","7813.13"
"NIFTY200 ALPHA 30","06 Sep 2018","-","-","-","7739.53"
"NIFTY200 ALPHA 30","05 Sep 2018","-","-","-","7704.98"
"NIFTY200 ALPHA 30","04 Sep 2018","-","-","-","7730.95"
"NIFTY200 ALPHA 30","03 Sep 2018","-","-","-","7907.22"
"NIFTY200 ALPHA 30","31 Aug 2018","-","-","-","7996.02"
"NIFTY200 ALPHA 30","30 Aug 2018","-","-","-","7980.20"
"NIFTY200 ALPHA 30","29 Aug 2018","-","-","-","8004.03"
"NIFTY200 ALPHA 30","28 Aug 2018","-","-","-","7970.81"
"NIFTY200 ALPHA 30","27 Aug 2018","-","-","-","7957.12"
"NIFTY200 ALPHA 30","24 Aug 2018","-","-","-","7869.18"
"NIFTY200 ALPHA 30","23 Aug 2018","-","-","-","7921.41"
"NIFTY200 ALPHA 30","21 Aug 2018","-","-","-","7869.70"
"NIFTY200 ALPHA 30","20 Aug 2018","-","-","-","7865.77"
"NIFTY200 ALPHA 30","17 Aug 2018","-","-","-","7800.97"
"NIFTY200 ALPHA 30","16 Aug 2018","-","-","-","7719.96"
"NIFTY200 ALPHA 30","14 Aug 2018","-","-","-","7717.15"
"NIFTY200 ALPHA 30","13 Aug 2018","-","-","-","7595.44"
"NIFTY200 ALPHA 30","10 Aug 2018","-","-","-","7586.61"
