Date,Momentum_Close,Value_Close,Momentum_Value_Ratio,MA_30_Week
2005-04-01,1000.0,1000.0,1.0,1.0
2005-04-08,1009.69,996.57,1.0131651564867497,1.0065825782433748
2005-04-15,970.69,971.11,0.9995675052259786,1.0042442205709095
2005-04-22,1011.97,975.25,1.0376518841322737,1.0125961364612506
2005-04-29,974.03,944.49,1.0312761384450868,1.0163321368580178
2005-05-06,992.14,986.65,1.0055642831804592,1.0145374945784247
2005-05-13,1036.11,1008.99,1.0268783635120267,1.0163004758546534
2005-05-20,1050.89,1030.85,1.0194402677402146,1.0166929498403485
2005-05-27,1048.25,1040.23,1.0077098334022283,1.0156948257916687
2005-06-04,1067.25,1055.15,1.0114675638534805,1.01527209959785
2005-06-10,1062.97,1072.36,0.9912436122197771,1.0130876916543885
2005-06-17,1035.65,1036.07,0.9995946219850012,1.0119632691819398
2005-06-24,1053.91,1030.8,1.022419480015522,1.0127675930922153
2005-07-01,1076.51,1026.77,1.0484431761738267,1.015315849026616
2005-07-08,1108.98,1051.43,1.0547349799796468,1.0179437910901514
2005-07-15,1166.81,1090.47,1.0700065109539922,1.0211977110816415
2005-07-22,1224.62,1143.38,1.0710524934842307,1.0241303453406174
2005-07-29,1224.23,1123.39,1.0897640178388626,1.0277766604794087
2005-08-05,1309.35,1164.41,1.1244750560369627,1.0328660497192799
2005-08-12,1360.36,1158.35,1.1743946130271508,1.0399424778846735
2005-08-19,1407.29,1168.88,1.2039644788173294,1.047753049357657
2005-08-26,1394.7,1157.3,1.2051326363086494,1.0549066669463387
2005-09-02,1444.64,1198.36,1.20551420274375,1.0614548206766607
2005-09-09,1474.37,1220.63,1.207876260619516,1.067555714007613
2005-09-16,1535.38,1274.02,1.2051459160766709,1.0730593220903755
2005-09-23,1434.26,1184.39,1.2109693597548103,1.0783635543082384
2005-09-30,1534.38,1226.94,1.2505746002249498,1.0847417411940425
2005-10-07,1511.73,1235.84,1.223240872604868,1.089688138744429
2005-10-14,1434.16,1177.41,1.2180633763939495,1.094114871077171
2005-10-21,1354.95,1122.53,1.2070501456531229,1.0978793802297029
2005-10-28,1298.13,1083.1,1.198531991505863,1.1044971132798982
2005-11-02,1379.68,1121.72,1.2299682630246407,1.111723883497828
2005-11-11,1477.63,1181.82,1.2503003841532554,1.1200816461287375
2005-11-18,1494.6,1198.38,1.2471836979922895,1.127066039924071
2005-11-26,1534.68,1195.11,1.2841328413284134,1.1354945966868486
2006-01-06,1760.79,1300.75,1.3536728810301748,1.1470982166151726
2006-01-13,1794.37,1274.39,1.408022661822519,1.1598030265588557
2006-01-20,1820.72,1255.42,1.4502875531694572,1.1741646027398303
2006-01-27,1871.19,1263.64,1.4807935804501282,1.1899340609747602
2006-02-03,1814.04,1207.58,1.502211033637523,1.2062921766342285
