gain_threshold,loss_threshold,period_months,cagr,total_return,max_dd,mar_ratio,switches,avg_switch_freq,pct_momentum,end_nav,cagr_score,mar_score,simple_score,total_score
10,-10,3,23.78337060218849,7977.911608221999,-62.830601043765796,0.37853164233812997,20,12.35,75.30364372469636,8684.399782004404,0.6537581819031971,0.7659091093512232,0.0,0.5566518237569655
10,-12,3,23.24150170843542,7280.422164957217,-62.830601043765796,0.3699073591902476,16,15.4375,77.7327935222672,7934.542954792563,0.47240393132945385,0.5534438945685493,0.2666666666666667,0.45556846736862505
10,-15,3,23.620994169962728,7762.580530499974,-62.830601043765796,0.375947289657616,12,20.583333333333332,87.85425101214574,8452.90168507988,0.599413567335673,0.7022417832761967,0.5333333333333333,0.6170459853173622
10,-18,3,23.514107455527267,7623.828412408123,-63.958116806263575,0.36764852734413955,8,30.875,91.09311740890689,8303.732082520346,0.5636404122123487,0.4977960006958709,0.8,0.5911590063149357
10,-20,3,23.770514875171166,7960.660875195726,-63.958116806263575,0.3716575168586462,6,41.166666666666664,91.90283400809717,8665.85386699584,0.649455589955799,0.5965602462169937,0.9333333333333333,0.6903625355096642
12,-10,3,22.450295942349108,6364.079480261257,-62.830601043765796,0.3573146773928033,18,13.722222222222221,72.06477732793523,6949.401423519173,0.20760089426197745,0.2432144184594753,0.1333333333333333,0.20343143933549798
12,-12,3,21.914262660340178,5805.936804706634,-62.830601043765796,0.34878327274118226,14,17.642857142857142,74.49392712550608,6349.353494673264,0.028199723126266264,0.0330373300426083,0.4,0.10401106057591564
12,-15,3,22.853645051270032,6816.779904721208,-62.830601043765796,0.3637343057621064,12,20.583333333333332,83.40080971659918,7436.090515721141,0.3425949421049878,0.40136642911601733,0.5333333333333333,0.3983740664539658
12,-18,3,23.2739949974587,7320.578602098238,-63.958116806263575,0.3638943133356832,8,30.875,90.68825910931174,7977.71433012658,0.4832788793979413,0.4053083269994591,0.8,0.5232319377988084
12,-20,3,23.770514875171166,7960.660875195726,-63.958116806263575,0.3716575168586462,6,41.166666666666664,91.90283400809717,8665.85386699584,0.649455589955799,0.5965602462169937,0.9333333333333333,0.6903625355096642
15,-10,3,21.852527483022577,5744.683329853394,-62.830601043765796,0.34780070729867446,18,13.722222222222221,68.82591093117408,6283.5011197697,0.007538015201078265,0.008831146850245,0.1333333333333333,0.033085018322279294
15,-12,3,21.830004625437603,5722.487069143969,-62.830601043765824,0.3474422377438584,14,17.642857142857142,71.65991902834008,6259.638367734875,0.0,0.0,0.4,0.08000000000000002
15,-15,3,22.661404135147343,6597.379842537564,-62.830601043765824,0.3606746355866009,12,20.583333333333332,82.99595141700405,7200.217935701814,0.2782551955814914,0.32598932589990354,0.5333333333333333,0.34359106222738345
15,-18,3,23.2739949974587,7320.578602098238,-63.958116806263575,0.3638943133356832,8,30.875,90.68825910931174,7977.71433012658,0.4832788793979413,0.4053083269994591,0.8,0.5232319377988084
15,-20,3,23.770514875171166,7960.660875195726,-63.958116806263575,0.3716575168586462,6,41.166666666666664,91.90283400809717,8665.85386699584,0.649455589955799,0.5965602462169937,0.9333333333333333,0.6903625355096642
18,-10,3,22.51809552320516,6438.15007091727,-62.830601043765796,0.3583937627386339,17,14.529411764705882,65.18218623481782,7029.033221011396,0.23029225432548145,0.26979843661372876,0.19999999999999996,0.23608565814685933
18,-12,3,22.492982698146346,6410.620812040436,-62.830601043765824,0.357994071749822,13,19.0,68.42105263157895,6999.437070250674,0.22188742130990244,0.2599517710615355,0.4666666666666667,0.2822625753067452
18,-15,3,23.328906541958293,7388.913254963381,-62.830601043765824,0.3712984780411079,11,22.454545454545453,79.75708502024291,8051.179536633837,0.5016568341308594,0.5877150751835819,0.6,0.5471429396205043
18,-18,3,23.944831019092238,8197.58364603903,-63.958116806263575,0.374382990225054,7,35.285714285714285,87.4493927125506,8920.564757539532,0.7077962218100361,0.6637041785588349,0.8666666666666667,0.7263426978060019
18,-20,3,24.444052873157695,8913.31438432289,-63.958116806263575,0.3821884397753848,5,49.4,88.66396761133603,9690.032432971839,0.8748772376384377,0.8559968580487891,1.0,0.8942376762338555
20,-10,3,22.585299510250877,6512.366427501799,-62.830601043765796,0.3594633687256736,15,16.466666666666665,52.226720647773284,7108.821728512248,0.25278427932774555,0.296148924169906,0.33333333333333337,0.2819034835815113
20,-12,3,22.238934854246175,6138.258698355618,-62.830601043765824,0.3539506941650173,13,19.0,53.84615384615385,6706.626057277569,0.13686195320952102,0.1603403515067493,0.4666666666666667,0.20986641539011863
20,-15,3,23.07312500976424,7075.625735660772,-62.830601043765824,0.3672275074002909,11,22.454545454545453,65.18218623481782,7714.370445832813,0.41605113021164775,0.48742388149897814,0.6,0.47425272955551734
20,-18,3,24.81790753942381,9487.36978928058,-63.958116806263575,0.3880337442486007,7,35.285714285714285,83.80566801619433,10307.187816127895,1.0,1.0,0.8666666666666667,0.9733333333333334
20,-20,3,24.444052873157695,8913.31438432289,-63.958116806263575,0.3821884397753848,5,49.4,88.66396761133603,9690.032432971839,0.8748772376384377,0.8559968580487891,1.0,0.8942376762338555
