Date,Close_mom,Close_val,Return_mom,Return_val,Ratio,Mom_3M_Return,regime,w_mom,w_val,Portfolio_Return,Portfolio_NAV
2005-04-29,974.03,944.49,,,1.0312761384450868,,momentum,1.0,0.0,,1000.0
2005-05-31,1047.16,1040.17,0.07507982300339844,0.10130334889728854,1.0067200553755635,,momentum,1.0,0.0,0.07507982300339844,1075.0798230033984
2005-06-30,1064.25,1010.75,0.01632033309140901,-0.0282838382187528,1.0529309918377443,,momentum,1.0,0.0,0.01632033309140901,1092.625483814667
2005-07-29,1224.23,1123.39,0.15032182287996254,0.1114419985159536,1.0897640178388626,25.687093826678865,momentum,1.0,0.0,0.15032182287996254,1256.8709382667887
2005-08-31,1430.37,1182.54,0.16838339200967134,0.05265313025752394,1.2095743061545485,36.59517170250963,momentum,1.0,0.0,0.16838339200967134,1468.5071301705289
2005-09-30,1534.38,1226.94,0.07271545124688039,0.03754629864528902,1.2505746002249498,44.174770965468646,momentum,1.0,0.0,0.07271545124688039,1575.2902888001402
2005-10-31,1341.92,1094.7,-0.1254317704871023,-0.10778033155655531,1.2258335617064036,9.613389640835468,momentum,1.0,0.0,-0.1254317704871023,1377.6988388447999
2005-11-30,1541.25,1187.43,0.14854089662573022,0.08470813921622367,1.29797124883151,7.751840432894985,momentum,1.0,0.0,0.14854089662573022,1582.3434596470338
2006-01-31,1853.6,1238.23,0.20266017842660178,0.04278146922344894,1.4969755215105431,20.80449432344007,momentum,1.0,0.0,0.20266017842660178,1903.021467511268
2006-02-28,1893.52,1251.39,0.02153646957272337,0.010628073944259242,1.5131333956640214,41.10528198402288,momentum,1.0,0.0,0.02153646957272337,1944.005831442564
2006-03-31,2162.02,1330.86,0.14179940005914915,0.06350538201519895,1.624528500368183,40.27704785077049,momentum,1.0,0.0,0.14179940005914915,2219.6646920526073
2006-04-29,2414.42,1411.24,0.116742675830936,0.060397036502712664,1.710850032595448,30.25571860164007,momentum,1.0,0.0,0.116742675830936,2478.794287650279
2006-05-31,2176.96,1293.34,-0.0983507426214163,-0.08354355035288119,1.6832078185163994,14.96894672356246,momentum,1.0,0.0,-0.0983507426214163,2235.003028654149
2006-06-30,2090.03,1137.2,-0.03993183154490654,-0.1207261818238049,1.8378737249384454,-3.3297564314853645,momentum,1.0,0.0,-0.03993183154490654,2145.7552642115756
2006-07-31,2024.6,1100.1,-0.03130577073056384,-0.032623988744284294,1.8403781474411418,-16.145492499233782,value,1.0,0.0,-0.03130577073056384,2078.5807418662675
2006-08-31,2211.44,1247.43,0.09228489578188293,0.13392418871011746,1.7727968703654713,1.5838600617374743,value,0.0,1.0,0.13392418871011746,2356.952981389182
2006-09-29,2356.52,1363.36,0.06560431212241791,0.09293507451319893,1.728464968900364,12.750534681320346,value,0.0,1.0,0.09293507451319893,2575.9965823386915
2006-10-31,2507.87,1404.9,0.06422606215945548,0.030468841685248327,1.78508790661257,23.869900227205363,momentum,0.0,1.0,0.030468841685248327,2654.48421438771
2006-11-30,2644.57,1351.77,0.054508407533085945,-0.037817638266068876,1.956375714803554,19.585880693123038,momentum,1.0,0.0,0.054508407533085945,2799.175921735699
2006-12-29,2692.14,1361.93,0.017987801419512284,0.007516071521042944,1.9767095225158413,14.242187632610804,momentum,1.0,0.0,0.017987801419512284,2849.526942354161
2007-01-31,2706.76,1472.43,0.005430623964578496,0.0811348600882571,1.8382945199432232,7.930634363025213,momentum,1.0,0.0,0.005430623964578496,2865.0016516550213
2007-02-28,2456.4,1338.23,-0.09249434748555474,-0.09114185394212293,1.8355589099033798,-7.115334440003485,momentum,1.0,0.0,-0.09249434748555474,2600.0051933401537
2007-03-30,2412.75,1323.78,-0.01776990718124083,-0.01079784491455138,1.8226215836468296,-10.377989257616616,momentum,1.0,0.0,-0.01776990718124083,2553.803342383755
2007-04-30,2633.36,1462.78,0.0914350844472076,0.10500234177884549,1.8002433722090814,-2.711729152196729,momentum,1.0,0.0,0.0914350844472076,2787.3105666561746
2007-05-31,2795.64,1576.01,0.06162469240817803,0.07740740234348298,1.7738719931980127,13.81045432340009,momentum,1.0,0.0,0.06162469240817803,2959.077722972426
2007-06-29,3077.08,1590.93,0.10067104491279277,0.009466945006694205,1.9341391513140112,27.53414153973681,momentum,1.0,0.0,0.10067104491279277,3256.9711693222275
2007-07-31,3246.71,1660.27,0.05512693852613526,0.04358457003136529,1.9555313292416294,23.291536288240124,momentum,1.0,0.0,0.05512693852613526,3436.5180187548485
2007-08-31,3342.1,1621.98,0.02938051134841113,-0.023062513928457373,2.060506294775521,19.54686583394143,momentum,1.0,0.0,0.02938051134841113,3537.484675403895
2007-09-28,4116.04,1905.44,0.23157296310702846,0.17476171099520332,2.160151985893022,33.764478011621414,momentum,1.0,0.0,0.23157296310702846,4356.67048363288
