Date,rolling_corr,mom_8w_ret,ratio,ratio_ma,condition_1,condition_2,condition_3,switch_to_value,mom_ret,val_ret,simple_trigger
2005-04-01,,,1.0,,False,False,False,False,,,False
2005-04-08,,,0.9986546399633084,,False,False,False,False,-0.02016999999999991,-0.018850000000000033,False
2005-04-15,,,0.9989610007976155,,False,False,False,False,-0.028555973995489037,-0.028853895938439567,False
2005-04-22,,,1.0105546422625469,,False,False,False,False,0.013930766402269201,0.0022983921749715197,False
2005-04-29,,,1.0161105982680556,,False,False,False,False,-0.04195376692812214,-0.047192234798906774,False
2005-05-06,,,1.0099072049546487,,False,False,False,False,0.04403971361207848,0.05045276715460023,False
2005-05-13,,,1.018714909544604,,False,False,False,False,0.014979178320591702,0.006203772479521197,False
2005-05-20,,,1.0270202808112325,,False,False,False,False,0.007838334353949872,-0.0003119151590766922,False
2005-05-27,,1.373000000000002,1.0279048072925645,,False,True,False,False,0.026582816867177117,0.025699427977119216,False
2005-06-04,,3.0474674178173844,1.0272142755407248,,False,False,False,False,-0.003985282077081598,-0.003315723831638251,False
2005-06-10,,7.61989809318695,1.037683097307482,,False,False,False,False,0.01454901999623659,0.004313589842716681,False
2005-06-17,,6.77332117582452,1.0480132618711036,,False,False,False,False,0.005954821452976322,-0.0039607771632326205,False
2005-06-24,,12.77930393026323,1.0395055574938943,,False,False,False,False,0.011936185078798234,0.02021825134500177,False
2005-07-01,,8.887024260882193,1.045900497512438,,False,False,False,False,0.008007441646368463,0.0018441907989832362,False
2005-07-08,,8.70381710553174,1.0526170145477545,,False,False,False,False,0.01327143169731615,0.0068059701492537705,False
2005-07-15,,8.500425325069871,1.0365003047335275,,False,False,False,False,0.00595260449919266,0.021594323213156352,False
2005-07-22,,8.812997543724643,1.0444156188456293,,False,False,False,False,0.0295402363218904,0.021737658292137807,False
2005-07-29,,13.252582475809405,1.0508951218615594,,False,False,False,False,0.03665225235025882,0.03026056658082088,False
2005-08-05,,13.042035182256573,1.0393114218528423,,False,False,False,False,0.012662877131613515,0.02394956438628104,False
2005-08-12,,12.414602903501294,1.046847465591874,,False,False,False,False,0.0003713362925095165,-0.0068301351666697485,False
2005-08-19,,10.756823107462754,1.0445891557002667,,False,False,False,False,-0.002986852668744211,-0.000831397923312438,False
2005-08-26,,7.975226660831658,1.042615541490212,,False,False,False,False,-0.017308108576128856,-0.015447926559037817,False
2005-09-02,,8.80027791339617,1.0395338823402767,,False,False,False,False,0.021013956438993286,0.024040713964191607,False
2005-09-09,,11.103022157510601,1.0421726302518801,,False,False,False,False,0.027243465279036316,0.024642517537721842,False
2005-09-16,,11.739962105759382,1.0444888862525104,,False,False,False,False,0.03544246375107085,0.03314626907486362,False
2005-09-23,,4.533449934411893,1.0374144051100909,1.0318287008537939,False,False,False,False,-0.03020518104448433,-0.023591820824188314,False
2005-09-30,0.9516808465865906,7.6702533722516675,1.0334452318786522,1.0331150559260498,False,False,False,False,0.0430505128248031,0.04705657724586243,False
2005-10-07,0.9426080297475644,6.207646688132851,1.0206736353077814,1.0339619403623757,False,False,True,False,-0.013217837664420973,-0.0008703220191470518,False
2005-10-14,0.9466710821998969,2.1940343737824053,1.0199357079898377,1.034768659869769,False,False,True,False,-0.040664217439365324,-0.03997013439522157,False
2005-10-21,0.9538580218132285,1.39652498766476,1.028758134878066,1.035468794201135,False,True,True,False,-0.024976912453719025,-0.033338518172862486,False
2005-10-28,0.9569165784700716,-5.798189522009656,1.0364300973178258,1.036250313395357,False,True,False,False,-0.05143333825740137,-0.05845490953300447,False
2005-11-02,0.9474043018671287,-3.345150288143295,1.055869613097423,1.038018098323925,False,True,False,False,0.05399314779868458,0.03458817944457637,False
2005-11-11,0.955681736205589,-1.0660652133347326,1.0498480452506609,1.039215526620312,False,True,False,False,0.05985780837157573,0.06593678878202769,False
2005-11-18,0.9537864246721297,5.078053106229197,1.0633773006654361,1.0406138735377815,False,False,False,False,0.030022223497863765,0.016917341781960138,False
2005-11-26,0.902874691185908,6.3650946422842525,1.1149448479956954,1.0439615674109786,False,False,False,False,0.05582624757173349,0.006993006993007089,False
2005-12-02,0.9013013933409622,9.720235385915865,1.1262107572812294,1.0477691244009981,False,False,False,False,0.017908849610906774,0.007726324993274192,False
2005-12-09,0.8880880809877013,16.857721407450722,1.1581952690050132,1.0524042079278262,False,False,False,False,0.02174219022008872,-0.006474057882749684,False
2005-12-16,0.8594566108201717,20.971315855788554,1.1224029089032759,1.0552653481982943,False,False,False,False,0.009345591114075846,0.04153266099574271,False
2005-12-23,0.8611456898288703,26.572433630750638,1.1137451837043963,1.0581207184371597,False,False,False,False,-0.007513558165427647,0.00020155926245424283,False
2005-12-30,0.8592919727876115,21.349603671255757,1.1059973542249226,1.0604321360030247,False,False,False,False,0.010501632059289667,0.01758048654661537,False
2006-01-06,0.8586329054567235,18.242129519529616,1.0899222931091828,1.0618669544092332,False,False,False,False,0.03271737573413547,0.0479487321667631,False
2006-01-13,0.8664087702526172,13.90640425464158,1.1045394889214855,1.0644838461087702,False,False,False,False,-0.007746830526812243,-0.020878057630091096,False
2006-01-20,0.8435746241170335,10.519092718827295,1.14386726188618,1.0683089093026377,False,False,False,False,0.024428430639332976,-0.010792866517409072,False
2006-01-27,0.8350987531931732,12.526761043328815,1.1678224368042314,1.0728061137235096,False,False,False,False,0.03639998362512453,0.015140636218899273,False
2006-02-03,0.8425340542171619,8.925075765265422,1.169643274216402,1.077818877275954,False,False,False,False,-0.01096108649712646,-0.012500768804969531,False
