"Index Name","Date","Open","High","Low","Close"
"NIFTY200 VALUE 30","31 Dec 2015","-","-","-","3275.29"
"NIFTY200 VALUE 30","30 Dec 2015","-","-","-","3261.69"
"NIFTY200 VALUE 30","29 Dec 2015","-","-","-","3273.21"
"NIFTY200 VALUE 30","28 Dec 2015","-","-","-","3274.60"
"NIFTY200 VALUE 30","24 Dec 2015","-","-","-","3272.47"
"NIFTY200 VALUE 30","23 Dec 2015","-","-","-","3260.97"
"NIFTY200 VALUE 30","22 Dec 2015","-","-","-","3230.61"
"NIFTY200 VALUE 30","21 Dec 2015","-","-","-","3262.62"
"NIFTY200 VALUE 30","18 Dec 2015","-","-","-","3225.34"
"NIFTY200 VALUE 30","17 Dec 2015","-","-","-","3234.69"
"NIFTY200 VALUE 30","16 Dec 2015","-","-","-","3169.09"
"NIFTY200 VALUE 30","15 Dec 2015","-","-","-","3144.03"
"NIFTY200 VALUE 30","14 Dec 2015","-","-","-","3145.63"
"NIFTY200 VALUE 30","11 Dec 2015","-","-","-","3132.12"
"NIFTY200 VALUE 30","10 Dec 2015","-","-","-","3164.30"
"NIFTY200 VALUE 30","09 Dec 2015","-","-","-","3143.72"
"NIFTY200 VALUE 30","08 Dec 2015","-","-","-","3199.00"
"NIFTY200 VALUE 30","07 Dec 2015","-","-","-","3276.73"
"NIFTY200 VALUE 30","04 Dec 2015","-","-","-","3287.81"
"NIFTY200 VALUE 30","03 Dec 2015","-","-","-","3323.00"
"NIFTY200 VALUE 30","02 Dec 2015","-","-","-","3349.50"
"NIFTY200 VALUE 30","01 Dec 2015","-","-","-","3372.62"
"NIFTY200 VALUE 30","30 Nov 2015","-","-","-","3340.03"
"NIFTY200 VALUE 30","27 Nov 2015","-","-","-","3314.48"
"NIFTY200 VALUE 30","26 Nov 2015","-","-","-","3256.61"
"NIFTY200 VALUE 30","24 Nov 2015","-","-","-","3241.99"
"NIFTY200 VALUE 30","23 Nov 2015","-","-","-","3246.14"
"NIFTY200 VALUE 30","20 Nov 2015","-","-","-","3270.04"
"NIFTY200 VALUE 30","19 Nov 2015","-","-","-","3260.44"
"NIFTY200 VALUE 30","18 Nov 2015","-","-","-","3219.75"
"NIFTY200 VALUE 30","17 Nov 2015","-","-","-","3291.31"
"NIFTY200 VALUE 30","16 Nov 2015","-","-","-","3286.48"
"NIFTY200 VALUE 30","13 Nov 2015","-","-","-","3242.22"
"NIFTY200 VALUE 30","11 Nov 2015","-","-","-","3255.52"
"NIFTY200 VALUE 30","10 Nov 2015","-","-","-","3225.21"
"NIFTY200 VALUE 30","09 Nov 2015","-","-","-","3285.44"
"NIFTY200 VALUE 30","06 Nov 2015","-","-","-","3278.85"
"NIFTY200 VALUE 30","05 Nov 2015","-","-","-","3303.69"
"NIFTY200 VALUE 30","04 Nov 2015","-","-","-","3340.65"
"NIFTY200 VALUE 30","03 Nov 2015","-","-","-","3332.11"
"NIFTY200 VALUE 30","02 Nov 2015","-","-","-","3311.98"
"NIFTY200 VALUE 30","30 Oct 2015","-","-","-","3323.76"
"NIFTY200 VALUE 30","29 Oct 2015","-","-","-","3315.53"
"NIFTY200 VALUE 30","28 Oct 2015","-","-","-","3353.32"
"NIFTY200 VALUE 30","27 Oct 2015","-","-","-","3382.75"
"NIFTY200 VALUE 30","26 Oct 2015","-","-","-","3382.72"
"NIFTY200 VALUE 30","23 Oct 2015","-","-","-","3417.08"
"NIFTY200 VALUE 30","21 Oct 2015","-","-","-","3402.73"
"NIFTY200 VALUE 30","20 Oct 2015","-","-","-","3417.39"
"NIFTY200 VALUE 30","19 Oct 2015","-","-","-","3434.18"
"NIFTY200 VALUE 30","16 Oct 2015","-","-","-","3428.92"
"NIFTY200 VALUE 30","15 Oct 2015","-","-","-","3407.78"
"NIFTY200 VALUE 30","14 Oct 2015","-","-","-","3359.08"
"NIFTY200 VALUE 30","13 Oct 2015","-","-","-","3376.95"
"NIFTY200 VALUE 30","12 Oct 2015","-","-","-","3375.65"
"NIFTY200 VALUE 30","09 Oct 2015","-","-","-","3362.80"
"NIFTY200 VALUE 30","08 Oct 2015","-","-","-","3366.03"
"NIFTY200 VALUE 30","07 Oct 2015","-","-","-","3371.64"
"NIFTY200 VALUE 30","06 Oct 2015","-","-","-","3331.68"
"NIFTY200 VALUE 30","05 Oct 2015","-","-","-","3319.85"
"NIFTY200 VALUE 30","01 Oct 2015","-","-","-","3217.36"
"NIFTY200 VALUE 30","30 Sep 2015","-","-","-","3227.98"
"NIFTY200 VALUE 30","29 Sep 2015","-","-","-","3193.26"
"NIFTY200 VALUE 30","28 Sep 2015","-","-","-","3210.62"
"NIFTY200 VALUE 30","24 Sep 2015","-","-","-","3230.94"
"NIFTY200 VALUE 30","23 Sep 2015","-","-","-","3235.36"
"NIFTY200 VALUE 30","22 Sep 2015","-","-","-","3194.70"
"NIFTY200 VALUE 30","21 Sep 2015","-","-","-","3274.77"
"NIFTY200 VALUE 30","18 Sep 2015","-","-","-","3223.65"
"NIFTY200 VALUE 30","16 Sep 2015","-","-","-","3189.70"
"NIFTY200 VALUE 30","15 Sep 2015","-","-","-","3189.27"
"NIFTY200 VALUE 30","14 Sep 2015","-","-","-","3232.83"
"NIFTY200 VALUE 30","11 Sep 2015","-","-","-","3142.19"
"NIFTY200 VALUE 30","10 Sep 2015","-","-","-","3150.74"
"NIFTY200 VALUE 30","09 Sep 2015","-","-","-","3169.14"
"NIFTY200 VALUE 30","08 Sep 2015","-","-","-","3075.37"
"NIFTY200 VALUE 30","07 Sep 2015","-","-","-","3017.66"
"NIFTY200 VALUE 30","04 Sep 2015","-","-","-","3078.05"
"NIFTY200 VALUE 30","03 Sep 2015","-","-","-","3163.55"
"NIFTY200 VALUE 30","02 Sep 2015","-","-","-","3098.70"
"NIFTY200 VALUE 30","01 Sep 2015","-","-","-","3158.54"
"NIFTY200 VALUE 30","31 Aug 2015","-","-","-","3276.41"
"NIFTY200 VALUE 30","28 Aug 2015","-","-","-","3247.55"
"NIFTY200 VALUE 30","27 Aug 2015","-","-","-","3247.90"
"NIFTY200 VALUE 30","26 Aug 2015","-","-","-","3132.52"
"NIFTY200 VALUE 30","25 Aug 2015","-","-","-","3162.40"
"NIFTY200 VALUE 30","24 Aug 2015","-","-","-","3084.20"
"NIFTY200 VALUE 30","21 Aug 2015","-","-","-","3437.66"
"NIFTY200 VALUE 30","20 Aug 2015","-","-","-","3458.79"
